sample,batch,class,order
QC-B1-1_3,1.1,NA,1
2C-31,1.1,2,2
1A-25,1.1,1,3
3C-31,1.1,3,4
3B-13,1.1,3,5
3O-03,1.1,6,6
3A-19,1.1,3,7
3B-07,1.1,3,8
1C-37,1.1,1,9
1B-01,1.1,1,10
2C-19,1.1,2,11
1A-31,1.1,1,12
3A-13,1.1,3,13
QC-B1-1_4,1.1,NA,14
1B-31,1.1,1,15
2A-13,1.1,2,16
2B-31,1.1,2,17
1C-07,1.1,1,18
3A-31,1.1,3,19
1C-31,1.1,1,20
2C-25,1.1,2,21
3B-19,1.1,3,22
3C-07,1.1,3,23
1B-25,1.1,1,24
3C-13,1.1,3,25
QC-B1-1_5,1.1,NA,26
1B-19,1.1,1,27
3A-01,1.1,3,28
1C-01,1.1,1,29
1A-19,1.1,1,30
2B-37,1.1,2,31
2O-05,1.1,5,32
3C-37,1.1,3,33
3A-07,1.1,3,34
2B-25,1.1,2,35
1B-37,1.1,1,36
1A-37,1.1,1,37
QC-B1-1_6,1.1,NA,38